bucket,size
798,0
799,1
800,1
801,2
802,0
803,0
804,1
805,2
806,0
807,0
808,0
809,0
810,0
811,0
812,0
813,0
814,0
815,1
816,0
817,0
818,0
819,0
820,0
821,1
822,0
823,1
824,1
825,0
826,0
827,1
828,0
829,1
830,2
831,0
832,1
833,1
834,1
835,1
836,0
837,0
838,0
839,0
840,0
841,1
842,0
843,0
844,0
845,2
846,2
847,1
848,0
849,1
850,0
851,0
852,0
853,0
854,0
855,0
856,0
857,1
858,1
859,0
860,0
861,2
862,0
863,0
864,0
865,0
866,0
867,1
868,0
869,1
870,1
871,1
872,1
873,1
874,0
875,0
876,1
877,0
878,0
879,1
880,1
881,0
882,0
883,0
884,0
885,1
886,1
887,0
888,0
889,1
890,0
891,0
892,0
893,0
894,0
895,0
896,0
897,0
898,1
899,0
900,0
901,2
902,0
903,0
904,2
905,0
906,0
907,0
908,0
909,0
910,2
911,1
912,0
913,1
914,0
915,0
916,0
917,1
918,3
919,1
920,1
921,0
922,0
923,0
924,1
925,0
926,0
927,0
928,1
929,1
930,1
931,0
932,1
933,1
934,0
935,0
936,0
937,0
938,1
939,0
940,0
941,1
942,2
943,0
944,0
945,0
946,1
947,0
948,0
949,0
950,1
951,0
952,0
953,0
954,0
955,1
956,0
957,1
958,1
959,0
960,1
961,0
962,0
963,1
964,0
965,0
966,0
967,0
968,1
969,0
970,0
971,1
972,1
973,0
974,0
975,0
976,2
977,0
978,0
979,1
980,2
981,3
982,1
983,1
984,0
985,0
986,0
987,0
988,0
989,0
990,1
991,0
992,2
993,0
994,0
995,0
996,0
997,0
998,1
999,1
1000,0
1001,1
1002,0
1003,1
1004,2
1005,0
1006,0
1007,1
1008,0
1009,0
1010,1
1011,0
1012,0
1013,1
1014,0
1015,0
1016,1
1017,0
1018,0
1019,1
1020,0
1021,2
1022,1
1023,1
1024,2
1025,5
1026,1
1027,5
1028,4
1029,4
1030,5
1031,3
1032,0
1033,8
1034,5
1035,2
1036,3
1037,4
1038,5
1039,4
1040,11
1041,7
1042,0
1043,6
1044,3
1045,2
1046,6
1047,9
1048,6
1049,8
1050,5
1051,4
1052,5
1053,5
1054,8
1055,7
1056,4
1057,11
1058,2
1059,4
1060,3
1061,6
1062,2
1063,6
1064,5
1065,7
1066,5
1067,5
1068,3
1069,3
1070,3
1071,7
1072,9
1073,8
1074,3
1075,6
1076,3
1077,4
1078,5
1079,2
1080,3
1081,6
1082,3
1083,4
1084,3
1085,2
1086,6
1087,1
1088,4
1089,12
1090,5
1091,5
1092,3
1093,7
1094,3
1095,5
1096,10
1097,6
1098,3
1099,10
1100,3
1101,7
1102,6
1103,6
1104,4
1105,8
1106,3
1107,6
1108,5
1109,6
1110,6
1111,4
1112,4
1113,9
1114,6
1115,10
1116,6
1117,9
1118,3
1119,4
1120,7
1121,11
1122,5
1123,3
1124,2
1125,0
1126,5
1127,2
1128,3
1129,7
1130,3
1131,6
1132,7
1133,7
1134,3
1135,9
1136,3
1137,9
1138,2
1139,6
1140,9
1141,6
1142,4
1143,4
1144,2
1145,5
1146,2
1147,6
1148,3
1149,7
1150,3
1151,6
1152,3
1153,3
1154,2
1155,4
1156,3
1157,3
1158,1
1159,8
1160,2
1161,6
1162,5
1163,6
1164,2
1165,6
1166,6
1167,5
1168,9
1169,6
1170,5
1171,6
1172,6
1173,9
1174,7
1175,5
1176,2
1177,6
1178,6
1179,7
1180,4
1181,7
1182,9
1183,9
1184,5
1185,6
1186,2
1187,5
1188,4
1189,6
1190,8
1191,6
1192,2
1193,4
1194,5
1195,3
1196,3
1197,6
1198,4
1199,5
1200,1
1201,5
1202,0
1203,6
1204,3
1205,7
1206,6
1207,1
1208,3
1209,4
1210,1
1211,7
1212,3
1213,2
1214,5
1215,7
1216,7
1217,5
1218,4
1219,6
1220,4
1221,2
1222,6
1223,4
1224,2
1225,10
1226,6
1227,3
1228,4
1229,14
1230,4
1231,3
1232,7
1233,5
1234,5
1235,8
1236,6
1237,7
1238,1
1239,7
1240,5
1241,9
1242,4
1243,2
1244,7
1245,10
1246,3
1247,5
1248,6
1249,7
1250,3
1251,3
1252,3
1253,7
1254,6
1255,6
1256,6
1257,8
1258,9
1259,5
1260,6
1261,6
1262,1
1263,10
1264,4
1265,6
1266,4
1267,5
1268,3
1269,4
1270,1
1271,2
1272,3
1273,3
1274,5
1275,5
1276,6
1277,6
1278,3
1279,6
1280,3
1281,6
1282,6
1283,5
1284,5
1285,2
1286,5
1287,7
1288,5
1289,11
1290,3
1291,6
1292,7
1293,6
1294,2
1295,6
1296,7
1297,9
1298,3
1299,4
1300,3
1301,4
1302,5
1303,2
1304,7
1305,2
1306,4
1307,6
1308,5
1309,8
1310,6
1311,3
1312,1
1313,8
1314,2
1315,5
1316,3
1317,4
1318,0
1319,4
1320,4
1321,6
1322,3
1323,4
1324,2
1325,5
1326,4
1327,3
1328,5
1329,7
1330,1
1331,2
1332,6
1333,6
1334,3
1335,5
1336,2
1337,6
1338,2
1339,8
1340,1
1341,7
1342,4
1343,4
1344,10
1345,9
1346,7
1347,9
1348,1
1349,5
1350,5
1351,12
1352,1
1353,5
1354,3
1355,7
1356,7
1357,8
1358,6
1359,4
1360,5
1361,5
1362,5
1363,4
1364,3
1365,3
1366,7
1367,7
1368,3
1369,4
1370,5
1371,6
1372,6
1373,6
1374,7
1375,7
1376,6
1377,7
1378,2
1379,5
1380,2
1381,5
1382,5
1383,6
1384,4
1385,9
1386,2
1387,2
1388,5
1389,8
1390,5
